,POSTS,PREPROCESSED_POSTS,LUBIE_TO,SUPER,TRZYMAJ_SIE,HAHA,WOW,PRZYKRO_MI,WRR,ALL_REACTIONS,COMMENTS,POLARITY,SUBJECTIVITY,SIMILARITY_TO_BEST,POSTS_LENGTH,POSTS_SENTIMENT,TWENTY_REACTS_BAYES,FIFTY_REACTS_BAYES,HUNDRED_REACTS_BAYES,TWO_HUNDRED_REACTS_BAYES
0," Jakieś sposoby na ból głowy? W poniedziałek miałem 3 dawkę pfizera i tak mi po niej łeb rozsadza, mimo że teoretycznie powinno już przejść Leków przeciwbólowych więcej wziąć nie mogę bo przedawkuje a niewiele one dają",jakieś ból głowa poniedziałek mieć dawka pfizera łeb rozsadzać teoretycznie przejść lek przeciwbólowy wziąć móc przedawkować niewiele dawać,3,0,2,0,0,0,0,5,12,0.0,0.0,0.8335837020476983,39,0.19999999999999996,0,0,0,0
1," podcasty Siema, z racji tego, że muzyka mnie ostatnio mega nudzi (zwłaszcza polski rap. Ja pierdole, ale syf się z tego zrobił ostatnio) to wciągnąłem się w słuchanie podcastów. Polecicie coś, może coś mniej znanego? Zależałoby mi najbardziej na polskojęzycznych, ale nie wykluczam. Tematyka dowolna. Jedyne co, to bym prosił o sugestie niekryminalne, bo tej tematyki mam już dosyć XDDD Zobacz więcej ",podcasty siema racja muzyk ostatnio mega nudzić zwłaszcza polski rapa pierdoła syf zrobić ostatnio wciągnąć słuchanie podcastów polecić móc znany zależeć polskojęzyczny wykluczać tematyka dowolny jedyny prosić sugestia kryminalny tematyka mieć dosyć xddd zobaczyć,14,0,0,0,0,0,0,14,103,0.0,0.0,0.8946459679398372,77,1.0,0,0,0,0
2," Siema, luźny post, co was ostatnio denerwuje, podnosi ciśnienie, albo po prostu wkurwia? Coś w społeczeństwie, w pracy, w szkole? Podzielcie się swoimi wkurwieniami",siema luźny posta ostatnio denerwować podnosić ciśnienie prosty wkurwiać społeczeństwo praca szkoła podzielić swoimi wkurwieniami,6,0,0,0,0,0,0,6,112,0.0,0.0,0.8027572096263991,33,1.0,0,0,0,0
3," siemka, przychodze z takim pytaniem. Od jakiegoś czasu planuje zapuszczenie zarostu, krótkiej brody. Kilka razy już podchodziłem do tego ale za każdym razem kończy się po tygodniu. Tworzą mi się pryszcze, mam podrażnienia. Wiem ze są olejki do brody a wlasciwie to do skóry twarzy podczas zapuszczania zarostu, ale czy ktoś byłby w stanie mi tu polecić coś co pomogło mu gdy miał podobne problemy? Czy takie olejki powinny wyeliminować owe podrażnienia i powstawanie pryszczy? Dzięki z góry za wszystkie odpowiedzi",siemka przychodze takim pytanie jakiegoś czas planować zapuszczenie zarost krótki bród podchodzić każdym kończyć tydzień tworzyć pryszcz mieć podrażnienie wiedzieć olejek bród wlasciwie skóra twarz zapuszczania zarost stań polecić pomóc mieć podobny problem olejek powinny wyeliminować ów podrażnienie powstawanie pryszcz dzięki góra odpowiedź,1,0,0,0,0,0,0,1,7,0.0,0.0,0.9057271714545639,92,1.0,0,0,0,0
4, Jakiego skilla chcielibyście nabyć w najbliższej przyszłości? (Typu nauczę się chodzić na rękach itp) Szukam jakiejś inspiracji.,skilla chcieć nabyć bliski przyszłość typ nauczyć chodzić ręka itp szukać jakiejś inspiracja,5,3,0,0,0,0,0,8,130,0.0,0.0,0.5802538281419434,22,1.0,0,0,0,0
5," Siemano chłopy, przychodzę z prostym pytaniem, macie jakieś tabletki które pozytywnie wpływają na Wasze libido i seks i moglibyście coś polecić? Do tego co robicie żeby uprawiać seks jak najdłużej? Pozdro",siemano chłop przychodzić prosty pytanie mieć jakieś tabletka pozytywnie wpływać libido seks móc polecić robić uprawiać seks długo pozdro,5,0,3,0,0,0,0,8,106,0.0,0.0,0.8930304011734566,36,0.25,0,0,0,0
6," Siemanko, post o broda Pokazujcie wszystkie kosmetyki jakie używacie do brody, do trzymania koloru, do zmiany koloru, do poprawienia zarostu, do wzmocnienia włosów, do pojawiania się nowych włosów. Najlepiej napiszcie też co wam pomogło nabrać pełny zarost, co wam pomogło w zmianie jego koloru czy cokolwiek. Dużo osób teraz zaczyna zapuszczać brody, może to być post zbiórczy z radami na zarost i do zarostu peace!",siemanko posta broda pokazujcie kosmetyka używać bród trzymania kolor zmiana kolor poprawienia zarost wzmocnienie włos pojawianie nowy włos napisać pomóc nabrać pełny zarost pomóc zmiana kolor osoba zaczynać zapuszczać bród móc posta zbiórczy rada zarost zarost peace,0,1,0,0,0,0,0,1,33,0.0,0.0,0.7883479084490588,77,1.0,0,0,0,0
7," Polecacie instagramy jakichś zagranicznych influ z fajnymi outfitami? Mogą być eleganckie, sportowe, basic, luxury, wszystko",polecać instagramy zagraniczny influ fajny outfitami móc elegancki sportowy basic luxury,6,0,0,0,0,0,0,6,13,0.0,0.125,0.8133362718050491,21,1.0,0,0,0,0
8," Ja tutaj z innej paczki. Mam pytanie do was. Znam chłopaka ( totalny przeb i idiota) który myśli że jest inflencerem. PolishCrash Tak się nazywa na ig. Dziś wstawił filmik jak bije napotkanego, bezbronnego człowieka na ulicy. Tłumaczy się tym że ten człowiek wykorzystał jego koleżankę. Oczywiście sam Crash Tak twierdzi. Jest to chłopak który ma coś na bani i jestem pewnie, że osobie której się oberwało, była nie świadoma kto ją atakuje (prawdopodobnie) po spożyciu alkoholu. Uważam, że nawet jeśli coś by się stało jego koleżance, to dalej nie zmienia faktu, że nie jest on od wymierzania kary. Tutaj pytanie do was. Bawić się z tym i zgłosić to gdzieś czy odpuścić sobie? (Kto napisze, że jestem 60 to zapraszam do Choroszczy) Filmik poglądowy......",paczka mieć pytanie znać chłopak totalny przeb idiota myślić inflencerem polishcrash nazywać ig wstawić filmik bić napotkanego bezbronny człowiek ulica tłumaczyć człowiek wykorzystać koleżanka oczywiście crash twierdzić chłopak mieć bania pewnie osoba oberwać świadoma atakować prawdopodobnie spożycie alkohol uważać stać koleżanka zmieniać fakt wymierzania kara pytanie bawić zgłosić odpuścić napisać zapraszać Choroszcz filmik poglądowy,22,0,0,0,0,13,53,92,198,0.0,0.0,0.9058361696197903,155,0.7173913043478262,0,1,1,0
9," tinder Chłopacy, mam taki problem, że używam sobie Tindera, ale każda znajomość idzie w kierunku randeczki, miłostki i jakieś ckliwe pierdoły i potem może ruchanie. Pytanie brzmi jak zrobić żeby cimcirimcim na raz albo kilka, ale bez tego szajsu. Ja serio kurwa nie umiem tej aplikacji używać XD. Jak w jeden lub kilka dni przejść od matcha do momentu kiedy masz już na stanie babę która chcę ci usiąść na mordzie czy innej pięcie? Jakie macie rady? Jak jest jakiś sztukmistrz który chce mi opowiedzieć dokładnie na priv to też chętnie",tinder chłopak mieć problem używać tindera każda znajomość iść kierunek randeczki miłostka jakieś ckliwy pierdoła potem móc ruchanie pytanie brzmieć zrobić cimcirimcim szajs serio kurwa umieć aplikacja używać xd dzień przejść matcha moment mieć stań baba chcieć usiąść morda pięta mieć rada sztukmistrz chcieć opowiedzieć dokładnie priv chętnie,23,0,0,32,0,78,0,144,125,0.0,0.0,0.9024011620221327,102,0.08333333333333326,0,1,1,0
